NUM_ID,NAME,CATEGORY_ID
318,POS/WEB MERCHANT TERMINALS SET UP,1
319,ATM TRANSACTIONS- ROU/NOU,1
320,VAULT ADMINISTRATION,1
321,GENERAL LEDGER CFM/LONG OUTSTANDING ACCOUNT,1
322,EQUIPMENT MAINTENANCE,1
323,"VTU APPROVED TRANSACTIONS FOR RECHARGE, WEB & OTHERS",1
324,IN BRANCH POS TRANSFERS,1
325,TRANSACTIONS PROCESSED ON EASY TRANS PORTAL.,1
326,REACTIVATION OF ACCOUNTS,1
327,STANDING INSTRUCTION,1
328,CUSTOMERS REQUEST FOR ACCOUNT STATEMENT (OFF CYCLE STATEMENT),1
329,BANKERS CONFIRMATION/REFERENCE LETTER,1
330,ADMINISTRATION OF CLOSED CIRCUIT TELEVISION [CCTV],1
331,WORK PLACE ETHICS,1
332,PRIMING OF CARDS,1
333,ACCOUNT OFFICER CONFIRMATION,1
334,FOREIGN DRAFT PROCESSING,1
335,TRAINING AND DEVELOPMENT,1
336,STAFF WELFARE - HEALTH AND MEDICARE SERVICES,1
337,FIXED ASSETS ADMINISTRATION,1
338,ISSUER CHRAGEBACK,1
339,LETTER OF CREDIT,1
340,OUTWARD CLEARING,1
341,ENFORCE DATA INTEGRITY ON ALL DATA CAPTURE PLATFORMS,1
342,WESTERN UNION MONEY TRANSFER/MONEYGRAM,1
343,CHARGES /BILLING  VISA/UPSL/VERVE,1
344,PAYMENT GATEWAY- AUTOPAY/REMITTA,1
345,INCOME AND NIBSS CHARGES,1
346,RETURNED INWARD CHEQUES,1
347,LOAN DEMAND SATISFACTION,1
348,ACCOUNT LIEN MAINTENANCE,1
349,REVOKE STOP PAYMENT ORDER,1
350,ACCOUNT CLOSURE,1
351,FORM M PROCESSING,1
352,CONFIRMATION AND SETTLEMENT,1
353,MEDIA RELATIONS,1
354,DOCUMENT RECEIPT,1
355,PRE-TRADE DOCUMENTS ON COUNTER-PARTIES,1
356,"CREDIT DOCUMENTATION, AND MONITORING",1
357,PAYROLL MANAGEMENT  STATUTORY DEDUCTIONS AND REMITTANCE,1
358,PERSONNEL DATA ADMINISTRATION,1
359,INWARD REAL TIME GROSS SETTLEMENT (RTGS),1
360,PREPAYMENT AND AMORTIZATION,1
361,LITIGATION AND PROSECUTION,1
362,FORM M,1
